age,balance,day,duration,campaign,job,marital,subscribe
56,2337.5627033583723,24,199.8960993141958,1,technician,divorced,0
69,686.3546439403254,13,210.91853289366236,5,admin,single,1
46,2713.7314377258417,26,58.225429606785816,2,admin,single,0
32,1359.957148057762,29,502.56580859366386,2,blue-collar,married,1
60,2388.5988803308746,19,234.10887385363714,2,blue-collar,divorced,0
25,2234.4490334876546,17,42.151217590720066,1,blue-collar,single,0
38,461.198171997444,11,435.9317290147351,3,admin,single,0
56,2002.9004049141358,28,808.4394226069528,4,technician,married,1
36,1826.2746708466855,28,882.9812241952055,1,admin,single,1
40,1530.3116574943422,8,138.1432556741169,4,technician,single,1
28,1405.6282499646188,23,43.68704770145283,3,blue-collar,single,0
28,1414.1067502822084,29,219.19218291727717,2,admin,married,1
41,2312.6894256439955,5,35.84095215900624,5,technician,married,0
53,2077.91051379151,10,815.3729779578975,3,admin,divorced,1
57,1530.4788502656647,7,60.84776823412054,2,technician,single,0
41,8.063853528625259,10,87.41301074033184,4,technician,married,1
20,1994.4434140836183,4,156.58443848081342,2,admin,married,1
39,2223.6136191777796,9,144.94585568843647,2,blue-collar,married,0
19,3800.4100854469702,27,474.930666931964,3,admin,divorced,1
41,2575.433063105038,26,182.81657775006704,5,blue-collar,divorced,1
61,-399.17638791546756,14,56.17668638968157,2,technician,divorced,0
47,1578.4293990186427,2,93.26879081366579,2,technician,divorced,0
55,3311.3750286649815,25,213.46263147526173,2,admin,divorced,0
19,2123.548856901637,9,47.85840464409217,4,admin,single,0
38,1828.652160373209,21,283.7588696980486,4,blue-collar,single,0
50,2400.228658915236,27,250.23860140490825,1,blue-collar,married,0
29,877.6218050091969,1,376.26664197187654,1,admin,divorced,1
39,1978.089996627456,23,832.7603817206815,1,blue-collar,divorced,1
61,1249.5319610080894,10,729.9946189043495,1,blue-collar,married,1
42,1480.3765141895253,10,876.0517645231928,5,admin,single,1
66,2328.4545156951067,20,84.1982723940448,1,admin,divorced,0
44,573.2868975078185,25,42.31886726312082,3,technician,divorced,1
59,2787.9824738019383,22,107.97980215917623,4,technician,divorced,1
45,1077.1880389144567,29,676.3819281610114,3,admin,single,1
33,1760.6628331504073,3,1073.2387208391522,1,technician,single,1
32,99.49203972505688,6,588.3907997529727,3,blue-collar,divorced,0
64,2219.8372908713905,29,34.96611835003444,2,admin,divorced,1
68,2946.5039359465777,26,883.6714750370006,2,technician,married,1
61,985.3584507818529,6,165.16011092126777,1,admin,married,1
69,389.7766134904002,21,2.806170726584488,2,technician,single,0
20,1777.9830647427084,2,175.2306582764523,3,admin,married,0
54,2954.8106449917427,26,14.149234519010202,3,blue-collar,divorced,1
68,50.14343451909417,26,235.49843656366522,3,technician,single,0
24,393.69181877165806,18,123.99809186781755,1,admin,married,1
38,1045.8104416884844,23,192.41411163796806,5,blue-collar,single,0
26,679.6561754693043,2,284.93126745335036,3,technician,divorced,0
56,682.8145333910046,12,609.3122264331001,2,technician,married,0
35,-594.1206276637772,22,325.3254696053373,2,admin,married,0
21,2089.0569474058675,5,170.7742633721788,5,blue-collar,married,0
42,1838.7205028696353,20,513.4874635235316,3,admin,divorced,1
31,-198.84919980364543,7,708.0075009321141,4,technician,single,1
67,2957.1957599562465,24,38.26819298569515,3,admin,married,0
26,3181.092314930487,16,227.74313488824941,5,admin,single,0
43,749.0944502198859,20,100.43711860466223,2,blue-collar,single,0
19,2666.548590977006,1,14.461378026074257,7,blue-collar,single,0
37,927.002195009054,1,331.28050180508563,4,technician,divorced,1
45,1681.1165102110608,17,595.8307782270872,1,blue-collar,divorced,1
64,664.2378649790911,27,53.34447370827816,1,admin,married,0
24,3714.2515234622756,1,502.05481406800595,2,technician,married,1
61,1203.9827726701021,21,576.0055161611064,2,blue-collar,single,1
25,1626.4490228234622,20,737.2123423570376,3,admin,single,0
64,812.062612536173,13,92.48181939609812,3,admin,single,0
52,3361.3155972363948,30,702.8754908151204,2,technician,divorced,0
31,3386.61464608941,9,115.99127862000118,3,technician,divorced,0
34,3130.9291812629403,15,241.1150476984679,3,blue-collar,married,0
53,2456.4403483476217,3,15.54828508076302,2,blue-collar,single,1
67,875.2104530659475,14,13.461896734298778,4,blue-collar,single,0
57,2327.850095962418,23,382.28984025982083,2,blue-collar,divorced,1
21,1492.9572010752645,11,176.35518819230816,6,technician,married,1
19,2812.408621742632,24,88.83218970953813,8,admin,single,0
23,2615.902053365361,22,63.36949517373739,2,admin,single,0
59,850.7344219240756,12,332.55650929860576,5,blue-collar,married,1
21,2447.825802837216,13,0.12048739971895486,2,technician,single,0
46,2182.0344500439264,26,491.8008881069615,5,blue-collar,divorced,1
35,-1273.5628629134485,13,24.76988876584127,3,blue-collar,married,0
43,2300.936639629462,1,63.768526547866145,2,technician,single,0
61,1068.2042113597938,24,146.44363008008563,3,admin,single,1
51,613.9575456683265,31,198.99423723483957,1,admin,divorced,1
27,656.7393957062574,10,131.54921695006482,3,blue-collar,divorced,0
53,1364.7571043679686,3,116.01309931885353,1,technician,divorced,0
31,1980.0595800866834,24,996.5718179320339,1,admin,single,1
48,134.53797780781974,28,307.81467195872017,2,admin,single,0
65,1689.8478362124642,4,7.113561877305004,2,technician,single,0
32,2076.758066193072,16,168.7282731268868,1,technician,married,0
25,3361.8057836696316,8,623.8533426160943,1,admin,divorced,0
31,423.30983077486985,16,107.62721309973219,3,blue-collar,married,1
40,1150.3878132221964,27,29.799068590639536,3,blue-collar,divorced,0
57,1761.662972696479,17,426.12263502275823,1,admin,single,0
38,2647.4093301916064,19,279.43184302116094,3,blue-collar,married,0
